location
Bedfordshire and Hertfordshire
"Berkshire, Buckinghamshire and Oxfordshire"
Cheshire
Cornwall and Isles of Scilly
Cumbria
Derbyshire and Nottinghamshire
Devon
Dorset and Somerset
East Anglia
East Wales
East Yorkshire and Northern Lincolnshire
Eastern Scotland
Essex
"Gloucestershire, Wiltshire and Bath/Bristol area"
Greater Manchester
Hampshire and Isle of Wight
"Herefordshire, Worcestershire and Warwickshire"
Highlands and Islands
Inner London - East
Inner London - West
Kent
Lancashire
"Leicestershire, Rutland and Northamptonshire"
Lincolnshire
Merseyside
North Eastern Scotland
North Yorkshire
Northern Ireland
Northumberland and Tyne and Wear
Outer London - East and North East
Outer London - South
Outer London - West and North West
Shropshire and Staffordshire
South Yorkshire
Southern Scotland
"Surrey, East and West Sussex"
Tees Valley and Durham
West Central Scotland
West Midlands
West Wales
West Yorkshire
